Designator,Mid X,Mid Y,Rotation,Layer
C1,240.503118,-146.8825,270.0,top
C2,240.583118,-116.8775,270.0,top
C3,211.965,-90.123118,180.0,top
C4,226.775618,-116.415,180.0,top
C5,211.855,-121.103118,180.0,top
C6,233.926741,-88.091377,45.0,top
C7,231.533118,-146.7425,270.0,top
C8,231.603118,-114.7225,270.0,top
D1,262.775,-117.253118,0.0,top
INA1,240.453118,-152.015,270.0,top
INA2,241.925,-121.933118,270.0,top
INB1,246.873118,-148.735,270.0,top
INB2,246.953118,-118.345,270.0,top
J1,243.303118,-142.375,180.0,top
J10,215.01,-150.46,180.0,top
J2,243.373118,-112.005,180.0,top
J3,197.855,-104.99,0.0,bottom
J4,197.895,-139.07,0.0,bottom
J49,260.396,-105.583118,90.0,top
J5,196.05,-117.79,180.0,top
OUT1_2,196.105,-95.353118,270.0,top
OUT1,193.25,-129.59,270.0,top
OUT2_2,207.175,-104.983118,270.0,top
OUT2,222.25,-155.09,270.0,top
PGND,245.875,-88.033118,270.0,top
Q1,224.54,-120.92,180.0,top
Q2,224.57,-89.9175,180.0,top
R1,237.143118,-114.085,180.0,top
R10,237.143118,-104.815,0.0,top
R11,237.143118,-116.415,0.0,top
R12,237.143118,-111.7794,180.0,top
R2,237.203118,-146.59,0.0,top
R3,237.153118,-135.395,0.0,top
R4,237.173118,-139.69,180.0,top
R5,237.173118,-137.39,180.0,top
R6,237.173118,-144.32,180.0,top
R7,237.173118,-142.01,180.0,top
R8,237.143118,-107.1306,180.0,top
R9,237.143118,-109.475,180.0,top
U1,220.57,-105.0,180.0,top
U2,220.61,-136.0,180.0,top
U3,237.143118,-119.1206,0.0,top
U4,237.223118,-149.2725,0.0,top
VM,239.275,-88.033118,270.0,top
