"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","10","NC7SZ04P5XCT-ND","NC7SZ04P5X","IC INVERTER 1CH 1-INP SC70-5","","10","0","0.05200","0.52"
"2","5","FDD8447LCT-ND","FDD8447L","MOSFET N-CH 40V 15.2A/50A DPAK","","3","2","1.21000","6.05"
"3","4","497-13073-1-ND","VNH5019ATR-E","IC MTR DRV 5.5-24V MULTIPWRSO-30","","4","0","8.31000","33.24"
"4","4","SMCJ18AFSCT-ND","SMCJ18A","TVS DIODE 18VWM 29.2VC DO214AB","","4","0","0.35000","1.40"
"5","20","311-4.70KHRCT-ND","RC0603FR-074K7L","RES 4.7K OHM 1% 1/10W 0603","","20","0","0.02400","0.48"
"6","20","RMCF0603FT1K00CT-ND","RMCF0603FT1K00","RES 1K OHM 1% 1/10W 0603","","20","0","0.02100","0.42"
"7","20","311-4.70KHRCT-ND","RC0603FR-074K7L","RES 4.7K OHM 1% 1/10W 0603","","20","0","0.02400","0.48"
"8","20","RMCF0603FT1K00CT-ND","RMCF0603FT1K00","RES 1K OHM 1% 1/10W 0603","","20","0","0.02100","0.42"
"9","20","311-4.70KHRCT-ND","RC0603FR-074K7L","RES 4.7K OHM 1% 1/10W 0603","","20","0","0.02400","0.48"
"10","20","RMCF0603FT1K00CT-ND","RMCF0603FT1K00","RES 1K OHM 1% 1/10W 0603","","20","0","0.02100","0.42"

